drug_id,drug_name
CID100003355,Flecainide
CID100003363,Fdurd
CID100003364,Flucloxacillin
CID100003365,Fluconazole
CID100003366,5-Fluorocytosine
CID100003367,Fludarabine
CID100003368,Famp
CID100003370,Fludrocortisone
CID100003372,Fluphenazine
CID100003373,Flumazenil
CID100003375,Flumethasone
CID100003379,Flunisolide
CID100003380,Flunitrazepam
CID100003381,Fluocinolone
CID100003382,Fluocinonide
CID100003384,Fluorometholone
CID100003385,5-Fu
CID100003386,Fluoxetine
CID100003387,Fluoxymesterone
CID100003388,Fluphenazine
CID100003392,Flurandrenolone
CID100003393,Flurazepam
CID100003394,Flurbiprofen
CID100003397,Flutamide
CID100003399,Fluticasone
CID100003403,Fluvastatin
CID100003404,Fluvoxamine
CID100003405,Folate
CID100003406,4-Methylpyrazole
CID100003410,Formoterol
CID100003414,Foscarnet
CID100003417,Fosfomycin
CID100003419,Fosinopril
CID100003425,Romidepsin
CID100003440,Furosemide
CID100003443,Fusidic
CID100003446,Gabapentin
CID100003449,Galantamine
CID100003454,Ganciclovir
CID100003461,Gemcitabine
CID100003462,Gemeprost
CID100003463,Gemfibrozil
CID100003467,Gentamicin
CID100003475,Gliclazide
CID100003476,Glimepiride
CID100003478,Glipizide
CID100003488,Glibenclamide
CID100003494,Glycopyrrolate
CID100003510,Granisetron
CID100003512,Griseofulvin
CID100003516,Guaifenesin
CID100003517,Icodextrin
CID100003519,Guanfacine
CID100003520,Guanidinium
CID100003553,Halcinonide
CID100003559,Haloperidol
CID100003598,Hexachlorophene
CID100003623,Homatropine
CID100003636,Buscopan
CID100003637,Hydralazine
CID100003639,Hydrochlorothiazide
CID100003640,Cortisol
CID100003642,Hydrocortisone
CID100003647,Hydroflumethiazide
CID100003648,Hydromorphone
CID100003652,Hydroxychloroquine
CID100003657,Hydroxyurea
CID100003658,Hydroxyzine
CID100003661,Atropine
CID100003672,Ibuprofen
CID100003675,Phenelzine
CID100003676,Lidocaine
CID100003685,Idarubicin
CID100003687,Idurd
CID100003690,Ifosfamide
CID100003696,Imipramine
CID100003702,Indapamide
CID100003706,Indinavir
CID100003715,Indomethacin
CID100003724,Iodixanol
CID100003730,Iohexol
CID100003734,Iopamidol
CID100003736,Iopromide
CID100003737,Sodium
CID100003738,Iotrolan
CID100003739,Iodipamide
CID100003741,Ioversol
CID100003742,Ioxaglate
CID100003743,Ioxilan
CID100003746,Ipratropium
CID100003749,Irbesartan
CID100003750,Irinotecan
CID100003759,Isocarboxazid
CID100003763,Isoflurane
CID100003767,Isoniazid
CID100003777,Isopropyl
CID100003779,Isoproterenol
CID100003780,Isosorbide
CID100003783,Isoxsuprine
CID100003784,Isradipine
CID100003793,Itraconazole
CID100003821,Ketamine
CID100003823,Ketoconazole
CID100003825,Ketoprofen
CID100003826,Ketorolac
CID100003827,Ketotifen
CID100003830,Cytokinin
CID100003848,Phenyllactate
CID100003869,Labetalol
CID100003872,Lactulose
CID100003877,Lamivudine
CID100003878,Lamotrigine
CID100003883,Lansoprazole
CID100003890,Latanoprost
CID100003899,Leflunomide
CID100003902,Letrozole
CID100003911,Leuprorelin
CID100003914,Levobunolol
CID100003915,Levocabastine
CID100003916,Levomepromazine
CID100003918,Dextrorphan
CID100003928,Lincomycin
CID100003929,Linezolid
CID100003937,Lisinopril
CID100003938,Lisuride
CID100003939,Lioh
CID100003948,Lomefloxacin
CID100003950,Lomustine
CID100003954,Loperamide
CID100003957,Loratadine
CID100003958,Lorazepam
CID100003961,Losartan
CID100003962,Lovastatin
CID100003964,Loxapine
CID100003998,Mafenide
CID100004004,Malathion
CID100004011,Maprotiline
CID100004030,Mebendazole
CID100004031,Mebeverine
CID100004032,Mecamylamine
CID100004033,Nitrogen
CID100004034,Monamine
CID100004036,Meclofenamate
CID100004042,Medroxyprogesterone
CID100004043,Medrysone
CID100004044,Mefenamic
CID100004046,Mefloquine
CID100004048,Megestrol
CID100004051,Meloxicam
CID100004053,Melphalan
CID100004054,Memantine
CID100004057,Cantril
CID100004058,Meperidine
CID100004060,Mephenytoin
CID100004062,Mepivacaine
CID100004064,Meprobamate
CID100004075,5-Asa
CID100004086,Metaproterenol
CID100004091,Metformin
CID100004095,Methadone
CID100004101,Methenamine
CID100004107,Methocarbamol
CID100004112,Methotrexate
CID100004114,8-Mop
CID100004120,N-Methylscopolamine
CID100004121,Methyclothiazide
CID100004138,Methyldopa
CID100004139,Methylene
CID100004140,Methylergometrine
CID100004158,Methylphenidate
CID100004159,Methylprednisolone
CID100004160,Methyltestosterone
CID100004163,Methysergide
CID100004168,Metoclopramide
CID100004170,Metolazone
CID100004171,Metoprolol
CID100004173,Metronidazole
CID100004174,Metyrapone
CID100004178,Mexiletine
CID100004184,Mianserin
CID100004189,Miconazole
CID100004192,Midazolam
CID100004195,Midodrine
CID100004196,Mifepristone
CID100004197,Milrinone
CID100004201,Minoxidil
CID100004205,Mirtazapine
CID100004211,Mitotane
CID100004212,Mitoxantrone
CID100004235,Moclobemide
CID100004236,Modafinil
CID100004240,Mometasone
CID100004248,Montelukast
CID100004253,Morphine
CID100004259,Moxifloxacin
CID100004264,Mupirocin
CID100004271,Mycophenolate
CID100004272,Mycophenolic
CID100004274,Tetrofosmin
CID100004409,Nabumetone
CID100004411,Nadolol
CID100004419,Nalbuphine
CID100004421,Nalidixic
CID100004422,Nalmefene
CID100004425,Naloxone
CID100004428,Naltrexone
CID100004432,Nandrolone
CID100004436,Naphazoline
CID100004440,Naratriptan
CID100004443,Nateglinide
CID100004449,Nefazodone
CID100004450,Nefopam
CID100004451,Nelfinavir
CID100004454,Neomycin
CID100004456,Neostigmine
CID100004463,Nevirapine
CID100004473,Nicardipine
CID100004485,Nifedipine
CID100004493,Nilutamide
CID100004497,Nimodipine
CID100004499,Nisoldipine
CID100004506,Nitrazepam
CID100004509,Nitrofurantoin
CID100004510,Nitroglycerin
CID100004513,Nizatidine
CID100004536,Norethisterone
CID100004539,Norfloxacin
CID100004542,Levonorgestrel
CID100004543,Nortriptyline
CID100004547,Repaglinide
CID100004568,Nystatin
CID100004583,Ofloxacin
CID100004585,Olanzapine
CID100004594,Omeprazole
CID100004595,Ondansetron
CID100004599,Orlistat
CID100004601,Orphenadrine
CID100004603,Oseltamivir
CID100004607,Oxacillin
CID100004609,Oxaliplatin
CID100004614,Oxaprozin
CID100004616,Oxazepam
CID100004623,Oxiconazole
CID100004631,Oxprenolol
CID100004634,Oxybutynin
CID100004635,Oxycodone
CID100004638,Oxymetholone
CID100004639,Oxymorphone
CID100004649,Apas
CID100004666,Paclitaxel
CID100004673,Pamidronate
CID100004675,Pancuronium
CID100004678,Dexpanthenol
CID100004679,Pantoprazole
CID100004680,Papaverine
CID100004689,Paromomycin
CID100004691,Paroxetine
CID100004695,Isosulfan
CID100004724,Penbutolol
CID100004725,Penciclovir
CID100004727,D-Penicillamine
CID100004730,Penicillin
CID100004735,Pentamidine
CID100004736,Pentazocine
CID100004737,Pentobarbital
CID100004739,Pentostatin
CID100004740,Pentoxifylline
CID100004745,Pergolide
CID100004746,Perhexiline
CID100004747,Propericiazine
CID100004748,Perphenazine
CID100004756,Phenylazo
CID100004763,Phenobarbital
CID100004768,Phenoxybenzamine
CID100004771,Phentermine
CID100004775,4-Pba
CID100004782,Phenylephrine
CID100004786,Phenylpropanolamine
CID100004810,Moxonidine
CID100004811,Physostigmine
CID100004812,Vitamin
CID100004819,Pilocarpine
CID100004828,Pindolol
CID100004829,Pioglitazone
CID100004834,Piperacillin
CID100004845,Pirbuterol
CID100004865,Podophyllotoxin
CID100004868,Polymyxin
CID100004870,Polythiazide
CID100004885,Pramipexole
CID100004889,Pravastatin
CID100004891,Praziquantel
CID100004893,Prazosin
CID100004894,Prednisolone
CID100004895,Prednisolone
CID100004896,Prednisolone
CID100004900,Prednisone
CID100004906,Prilocaine
CID100004908,Primaquine
CID100004909,Primidone
CID100004911,Probenecid
CID100004913,Procainamide
CID100004914,Procaine
CID100004915,Procarbazine
CID100004917,Prochlorperazine
CID100004920,Progesterone
CID100004923,Proguanil
CID100004927,Promethazine
CID100004932,Propafenone
CID100004934,Propantheline
CID100004935,Proparacaine
CID100004943,Propofol
CID100004946,Propranolol
CID100004976,Protriptyline
CID100004989,Pyrantel
CID100004991,Pyridostigmine
CID100004992,Mepyramine
CID100004993,Pyrimethamine
CID100004999,Quazepam
CID100005002,Quetiapine
CID100005005,Quinapril
CID100005029,Rabeprazole
CID100005032,Ephedrine
CID100005035,Raloxifene
CID100005038,Ramipril
CID100005039,Ranitidine
CID100005040,Rapamycin
CID100005051,Rescinnamine
CID100005052,Reserpine
CID100005064,Ribavirin
CID100005070,Riluzole
CID100005071,Rimantadine
CID100005073,Risperidone
CID100005076,Ritonavir
CID100005077,Rivastigmine
CID100005078,Rizatriptan
CID100005090,Rofecoxib
CID100005095,Ropinirole
CID100005106,Roxithromycin
CID100005152,Salmeterol
CID100005155,Stavudine
CID100005161,Salsalate
CID100005184,Scopolamine
CID100005193,Secobarbital
CID100005195,Deprenyl
CID100005203,Sertraline
CID100005206,Sevoflurane
CID100005210,Sibutramine
CID100005212,Sildenafil
CID100005214,Silver
CID100005215,Sulfadiazine
CID100005238,Sodium
CID100005245,Risedronate
CID100005248,Sodium
CID100005253,Sotalol
CID100005257,Sparfloxacin
CID100005267,Spironolactone
CID100005291,Imatinib
CID100005297,Streptomycin
CID100005300,Streptozotocin
CID100005311,Vorinostat
CID100005314,Succinylcholine
CID100005318,Sulconazole
CID100005320,Sulfacetamide
CID100005329,Sulfamethoxazole
CID100005333,Sulfonamide
CID100005352,Sulindac
CID100005358,Sumatriptan
CID100005359,Suprofen
CID100005372,Tacrolimus
CID100005376,Tamoxifen
CID100005379,Gatifloxacin
CID100005381,Tazarotene
CID100005391,Temazepam
CID100005394,Temozolomide
CID100005396,Teniposide
CID100005401,Terazosin
CID100005402,Terbinafine
CID100005403,Terbutaline
CID100005404,Terconazole
CID100005407,Testolactone
CID100005408,Testosterone
CID100005409,Testosterone
CID100005410,Testosterone
CID100005411,Tetracaine
CID100005419,Tetrahydrozoline
CID100005426,Thalidomide
CID100005430,Thiabendazole
CID100005452,Thioridazine
CID100005453,Thiotepa
CID100005454,Thiothixene
CID100005466,Tiagabine
CID100005468,Tiaprofenic
CID100005470,Tibolone
CID100005472,Ticlopidine
CID100005478,Timolol
CID100005479,Tinidazole
CID100005483,Tiopronin
CID100005486,Tirofiban
CID100005487,Tizanidine
CID100005496,Tobramycin
CID100005503,Tolazamide
CID100005505,Tolbutamide
CID100005508,Tolmetin
CID100005512,Tolterodine
CID100005514,Topiramate
CID100005515,Topotecan
CID100005516,Toremifene
CID100005523,Tramadol
CID100005524,Tramazoline
CID100005525,Trandolapril
CID100005526,Tranexamic
CID100005530,Tranylcypromine
CID100005533,Trazodone
CID100005538,Retinoic
CID100005544,Triamcinolone
CID100005546,Triamterene
CID100005556,Triazolam
CID100005564,Triclosan
CID100005565,Trien
CID100005566,Trifluoperazine
CID100005572,Trihexyphenidyl
CID100005576,Trimethadione
CID100005577,Trimethobenzamide
CID100005578,Trimethoprim
CID100005582,Trimetrexate
CID100005584,Trimipramine
CID100005591,Troglitazone
CID100005593,Tropicamide
CID100005595,Tropisetron
CID100005596,Trospium
CID100005625,Delavirdine
CID100005636,Unoprostone
CID100005645,Udca
CID100005647,Vacv
CID100005650,Valsartan
CID100005651,Vancocine
CID100005656,Venlafaxine
CID100005665,Vigabatrin
CID100005672,Vinorelbine
CID100005717,Zafirlukast
CID100005718,Zalcitabine
CID100005719,Zaleplon
CID100005721,Zanamivir
CID100005726,Zidovudine
CID100005727,Zncl2
CID100005731,Zolmitriptan
CID100005732,Zolpidem
CID100005734,Zonisamide
CID100005735,Zopiclone
CID100005746,Mitomycin
CID100005771,Oxytocin
CID100005775,Phentolamine
CID100005877,Demethyl
CID100005878,Oxandrolone
CID100005939,Biguanide
CID100005978,Vincristine
CID100006018,Tetrabenazine
CID100006049,Edta
CID100006058,Cysteamine
CID100006116,Calcium
CID100006238,17-Hydroxyprogesterone
CID100006256,Trifluorothymidine
CID100006432,Optison
CID100006436,Triamcinolone
CID100006451,Bromcresol
CID100006468,Phencyclidine
CID100006476,Methsuximide
CID100006503,Tris
CID100006726,Cyclizine
CID100007012,Phenylbutyric
CID100007029,Diethylpropion
CID100007187,Benzoyl
CID100007638,Monobenzone
CID100007699,Benzonatate
CID100008197,Tetraen
CID100008230,Argenine
CID100008612,Chloroprocaine
CID100008982,Nafcillin
CID100009034,Methohexital
CID100009354,Dimercaptosuccinic
CID100009433,Aminophylline
CID100009904,Nandrolone
CID100010100,Propoxyphene
CID100010340,Sodium
CID100010413,Hydroxybutyrate
CID100010547,Echothiophate
CID100010631,Medroxyprogesterone
CID100010660,Dimenhydrinate
CID100011125,Lithium
CID100011973,Brolene
CID100012453,Zuclopenthixol
CID100012460,Phendimetrazine
CID100012536,Desonide
CID100012555,Benzydamine
CID100012559,Erythromycin
CID100012597,Isomannide
CID100012620,Tadenan
CID100013314,Lormetazepam
CID100013342,Vinblastine
CID100014789,Ferumoxytol
CID100014888,Arsenic
CID100014917,Fluoride
CID100015232,Benzathine
CID100015459,Metaxalone
CID100016124,Methylene
CID100016230,Amiloride
CID100016362,Pimozide
CID100016533,Betamethasone
CID100016850,Fluorescein
CID100016886,5-Aza-2'-Deoxycytidine
CID100017358,Sonovue
CID100018140,Estramustine
CID100019090,Megestrol
CID100020585,Choline
CID100020969,Clocortolone
CID100021800,Betamethasone
CID100021945,Methenamine
CID100022258,Hydrocodone
CID100022318,Gold
CID100022502,Procaine
CID100023703,Ogen
CID100023897,Molindone
CID100023925,Fe(Iii
CID100023926,Lanthanum
CID100023951,Samarium
CID100023954,Silver
CID100023957,Technetium-99M
CID100023976,Chromium
CID100023978,Copper
CID100023982,Gadolinium
CID100023993,Yttrium
CID100023994,Zinc
CID100024087,Selenium
CID100024414,Barium
CID100024424,Zinc
CID100024450,Potassium
CID100024642,Tlcl
CID100024706,Triphasil
CID100024748,Glucose
CID100024841,Iodide
CID100025419,Clodronate
CID100025959,Prussian
CID100027304,Hmdp
CID100027400,Pizotifen
CID100027661,Isosorbide-5-Mononitrate
CID100027991,Desmopressin
CID100027993,Conjugated
CID100028332,Propoxyphene
CID100028486,Lithium
CID100029089,Chlorhexidine
CID100030623,Dexrazoxane
CID100031072,Carbimazole
CID100031264,Paraldehyde
CID100031378,Fludrocortisone
CID100031477,Metipranolol
CID100032169,Articaine
CID100032281,Protirelin
CID100032603,Clindamycin
CID100032797,Clobetasol
CID100032800,Asp-Tyr(So3H)-Met-Gly-Trp-Met-Asp-Phe-Nh2
CID100034312,Oxcarbazepine
CID100036339,Etomidate
CID100036523,Gonadorelin
CID100036811,Dobutamine
CID100037392,Halofantrine
CID100037720,Pentosan
CID100038904,Carboplatin
CID100039042,Bezafibrate
CID100039507,Rimexolone
CID100039524,Stiripentol
CID100039764,Vecuronium
CID100039860,Nabilone
CID100040159,Permethrin
CID100040632,Pirfenidone
CID100040703,Pinaverium
CID100040973,Desogestrel
CID100040976,Implanon
CID100041317,Acitretin
CID100041684,Nitazoxanide
CID100041693,Sufentanil
CID100041744,Valrubicin
CID100041774,Acarbose
CID100041781,Torasemide
CID100042113,Desflurane
CID100042395,Westcort
CID100042615,Supremon
CID100042955,Misoprostol
CID100044563,Lodoxamide
CID100044564,Lodoxamide
CID100045469,Sodium
CID100047319,Atracurium
CID100047320,Cisatracurium
CID100047419,Cefuroxime
CID100047471,Butoconazole
CID100047528,Nicorandil
CID100047640,Naftifine
CID100047725,Goserelin
CID100050294,Nedocromil
CID100050614,Cefotetan
CID100051263,Alfentanil
CID100051577,Miglitol
CID100051634,Miglustat
CID100052421,Prednicarbate
CID100054158,Mebrofenin
CID100054313,Iloprost
CID100054331,Fosfomycin
CID100054373,Octreotide
CID100054454,Simvastatin
CID100054547,Cefpodoxime
CID100054688,Clarithromycin
CID100054786,Treprostinil
CID100054808,Loteprednol
CID100054840,Atomoxetine
CID100054949,Nsc
CID100055331,Moexiprilat
CID100055466,Gd-Dtpa
CID100055480,Milnacipran
CID100056338,Fosphenytoin
CID100056959,Ranolazine
CID100057166,Photofrin
CID100057469,Imiquimod
CID100057537,Rotigotine
CID100057697,Pemirolast
CID100059708,Levetiracetam
CID100059768,Esmolol
CID100060146,Tamsulosin
CID100060164,Adapalene
CID100060172,Adefovir
CID100060183,Perindopril
CID100060184,Perindopril
CID100060198,Exemestane
CID100060490,Zileuton
CID100060496,Amlodipine
CID100060612,Dexmedetomidine
CID100060613,Cidofovir
CID100060668,Etoposide
CID100060695,Rocuronium
CID100060706,Meropenem
CID100060714,Gadoteridol
CID100060726,Bromfenac
CID100060751,Mthpc
CID100060752,Ibutilide
CID100060754,Gadodiamide
CID100060787,Saquinavir
CID100060795,Aripiprazole
CID100060814,Remifentanil
CID100060830,Tiotropium
CID100060834,Duloxetine
CID100060843,Pemetrexed
CID100060852,Ibandronate
CID100060853,Ziprasidone
CID100060860,Metaiodobenzylguanidine
CID100060864,Olopatadine
CID100060867,Levosimendan
CID100060871,Adefovir
CID100060877,Emtricitabine
CID100060878,Eprosartan
CID100060936,Tiludronate
CID100060953,Capecitabine
CID100061475,Sodium
CID100061799,Monomethylfumarate
CID100062305,Doxycycline
CID100062358,Ammonium
CID100062816,Colestipol
CID100062819,Metrodin
CID100062924,Fluticasone
CID100062956,Fosinoprilat
CID100062959,Trovafloxacin
CID100062965,Beclomethasone
CID100063001,Benazeprilat
CID100064147,Valganciclovir
CID100064778,Meropenem
CID100064929,Fenofibric
CID100064987,Tenofovir
CID100065014,Amd3100
CID100065157,Testosterone
CID100065281,Cas
CID100065370,Glat
CID100065628,Bendamustine
CID100065840,Colestimide
CID100065856,Reboxetine
CID100065863,Sertaconazole
CID100065866,Lercanidipine
CID100065999,Telmisartan
CID100068613,Atosiban
CID100068740,Zoledronic
CID100068844,Brinzolamide
CID100069512,Malvidin
CID100071158,Acamprosate
CID100071273,Ropivacaine
CID100071301,Nebivolol
CID100071316,Mivacurium
CID100071329,Dofetilide
CID100071348,Lanreotide
CID100071360,Iloperidone
CID100071362,Hoe
CID100071406,Tpgs
CID100071436,Lutalyse
CID100071469,Erythromycin
CID100071616,Voriconazole
CID100072022,Perindoprilat
CID100072054,Darifenacin
CID100072081,Terlipressin
CID100072111,Rifaximin
CID100072466,Bleomycin
CID100072938,Gemifloxacin
CID100073303,Doripenem
CID100073658,Telithromycin
CID100074989,Atovaquone
CID100077992,Frovatriptan
CID100077993,Eletriptan
CID100077996,Paricalcitol
CID100077997,Mk-462
CID100077998,Rosiglitazone
CID100078032,Vallergan
CID100082146,Bexarotene
CID100082148,Agomelatine
CID100083030,Ge-132
CID100083513,Barium
CID100083606,Strontium
CID100084003,Ketorolac
CID100091488,Fluocinolone
CID100093860,Bortezomib
CID100096312,Nelarabine
CID100102258,Rasburicase
CID100102399,Dextran
CID100104741,Ici
CID100104758,Raltitrexed
CID100104778,Levodopa/Carbidopa
CID100104799,Fotemustine
CID100104849,Rimonabant
CID100104865,Bosentan
CID100105145,68Ga
CID100107694,Diane-35
